userId,n_u
7024,131
7104,105
7111,77
7118,40
7144,27
7151,25
7161,33
7167,20
7170,20
7182,216
7192,77
7235,101
7297,38
7364,31
7376,30
7383,20
7385,32
7400,123
7429,211
7456,52
7467,102
7482,162
7496,411
7500,25
7513,41
7516,38
7518,254
7523,32
7531,596
7545,640
7555,179
7556,174
7589,70
7596,260
7619,114
7623,100
7633,540
7635,367
7639,406
7642,49
7643,30
7650,37
7651,141
7665,217
7681,188
7690,38
7692,36
7762,58
7795,29
7798,151
7841,54
7848,23
7867,20
7878,21
7892,118
7902,32
7912,32
7916,642
7957,20
7958,35
7961,70
7974,52
7982,175
7993,143
8016,155
8038,97
8045,56
8058,63
8061,25
8066,87
8080,77
8091,111
8093,385
8112,186
8119,114
8126,46
8132,71
8147,153
8162,292
8176,39
8203,65
8244,42
8248,70
8254,20
8255,30
8262,31
8265,185
8269,20
8270,174
8294,34
8311,75
8321,20
8347,108
8399,49
8412,464
8417,267
8426,40
8429,22
8433,85
8436,86
8472,25
8475,337
8481,25
8522,23
8523,61
8527,71
8535,34
8537,48
8559,77
8565,40
8587,31
8588,237
8591,47
8701,76
8733,20
8745,22
8749,49
8779,38
8781,30
8794,21
8804,111
8837,184
8871,44
8873,113
8885,88
8896,177
8914,51
8930,73
8953,20
8966,1429
8971,82
8978,31
8981,90
8991,79
9002,100
9003,30
9005,126
9054,51
9056,109
9057,22
9058,21
9065,27
9080,25
9093,243
9102,20
9121,501
9128,53
9135,121
9147,236
9152,45
9171,88
9184,223
9185,151
9195,222
9206,21
9211,33
9231,435
9235,103
9236,44
9240,34
9250,20
9252,236
9254,26
9255,328
9257,43
9274,68
9284,338
9297,132
9320,190
9337,56
9342,24
9357,65
9362,829
9377,70
9384,33
9394,82
9403,743
9404,28
9422,416
9438,274
9471,891
9473,120
9490,902
9494,32
9502,20
9535,41
9541,40
9546,26
9581,79
9583,87
9584,143
9596,42
9609,83
9624,25
9634,51
9660,193
9670,40
9671,44
9673,100
9681,245
9689,42
9733,81
9743,100
9751,65
9795,568
9797,745
9798,533
9816,27
9849,272
9858,82
9862,33
9902,78
9907,126
9943,83
9964,233
9969,36
9987,59
9989,37
9991,50
9995,127
9997,196
10015,62
10017,153
10045,31
10080,62
10082,26
10095,89
10129,485
10151,229
10161,37
10184,23
10227,116
10232,33
10248,561
10251,31
10264,61
10266,24
10300,60
10306,33
10309,337
10381,138
10418,100
10461,118
10468,41
10489,400
10504,26
10510,56
10519,197
10530,81
10533,31
10539,103
10542,281
10563,89
10568,266
10582,46
10594,25
10642,293
10651,337
10674,35
10679,75
10694,414
10721,716
10732,344
10744,283
10745,42
10820,32
10848,548
10858,40
10862,25
10866,331
10878,125
10880,59
10889,198
10958,43
10959,26
10960,136
10965,22
10975,102
10983,34
10986,35
10999,298
11056,25
11116,41
11126,31
11146,28
11151,30
11159,85
11165,335
11172,28
11179,32
11180,20
11193,207
11200,519
11282,27
11300,53
11303,61
11313,229
11314,609
11369,36
11391,41
11398,83
11401,430
11435,161
11446,27
11475,200
11489,106
11497,111
11499,31
11500,30
11556,26
11571,100
11577,47
11593,40
11621,75
11634,59
11641,175
11645,268
11651,132
11656,24
11675,46
11696,43
11705,44
11728,181
11737,24
11744,23
11761,782
11766,248
11768,159
11789,101
11798,204
11809,28
11824,38
11829,219
11836,362
11839,75
11877,213
11882,37
11892,26
11896,115
11899,56
11902,1511
11903,130
12043,26
12046,322
12053,221
12076,29
12084,25
12096,65
12099,37
12115,323
12116,148
12122,170
12128,882
12142,100
12148,24
12170,323
12175,212
12176,24
12188,34
12193,20
12211,81
12280,27
12281,27
12302,111
12303,25
12347,28
12361,56
12370,114
12377,41
12385,67
12399,35
12409,149
12417,469
12420,36
12428,81
12431,42
12432,31
12436,134
12440,80
12451,68
12456,185
12469,230
12513,42
12517,48
12531,594
12533,138
12561,39
12594,36
12602,400
12620,81
12630,145
12633,126
12651,20
12661,20
12672,322
12676,110
12713,21
12755,47
12758,280
12776,39
12778,646
12784,46
12793,1626
12829,52
12834,29
12848,46
12862,91
12865,26
12870,48
12871,39
12914,83
12932,27
12942,28
12951,59
12955,30
12969,40
12973,1215
12995,34
13001,43
13043,209
13048,29
13060,130
13084,179
13088,74
13092,721
13098,41
13107,36
13114,52
13134,77
13136,58
13143,174
13144,97
13147,88
13156,128
13173,20
13176,74
13188,101
13194,24
13196,330
13213,71
13222,44
13250,20
13253,162
13266,26
13275,29
13317,21
13329,28
13330,41
13358,52
13367,432
13376,441
13388,114
13402,71
13418,100
13422,44
13457,60
13459,81
13474,78
13482,99
13488,72
13493,154
13511,42
13518,93
13524,80
13525,333
13546,258
13551,93
13570,168
13574,238
13577,311
13640,435
13644,501
13657,20
13669,22
13690,547
13694,76
13716,100
13723,121
13732,222
13735,29
13745,20
13753,1508
13758,20
13766,38
13821,23
13829,38
13839,43
13841,24
13842,25
13870,267
13882,32
13885,33
13888,37
13915,239
13923,192
13962,30
13965,474
13966,334
13973,241
13982,22
13998,202
14022,464
14038,239
14041,103
14063,81
14084,27
14109,34
14113,47
14116,156
14120,24
14121,20
14123,35
14127,206
14128,39
14172,97
14210,689
14213,34
14230,267
14235,71
14261,154
14273,23
14294,107
14295,222
14308,58
14318,37
14326,31
14341,152
14347,48
14375,51
14381,55
14382,151
14410,26
14415,62
14416,90
14417,390
14437,1137
14446,44
14461,170
14510,20
14516,25
14519,1149
14527,53
14534,119
14546,465
14549,243
14571,21
14575,45
14582,94
14606,77
14611,82
14618,258
14643,29
14652,76
14672,22
14682,44
14707,271
14721,91
14723,51
14738,102
14761,456
14762,44
14793,135
14797,30
14804,75
14809,76
14843,26
14887,25
14915,44
14921,20
14929,523
14985,21
14991,39
14996,46
14999,54
15004,21
15005,46
15007,100
15038,58
15047,507
15064,59
15074,103
15089,108
15130,367
15152,37
15159,26
15165,198
15181,59
15210,23
15221,70
15227,276
15239,30
15269,64
15285,75
15286,34
15293,20
15301,87
15318,44
15329,42
15332,37
15355,188
15362,108
15392,49
15418,278
15424,108
15448,51
15460,162
15467,42
15474,32
15485,21
15515,36
15547,50
15570,43
15587,27
15615,22
15652,121
15659,28
15664,46
15674,39
15675,24
15684,341
15694,714
15714,124
15720,1456
15729,73
15769,41
15797,21
15817,71
15837,460
15841,29
15848,52
15850,145
15914,125
15917,29
15924,61
15928,54
15930,28
15933,294
15938,36
15943,62
15947,255
16003,28
16021,134
16024,110
16029,175
16042,403
16068,77
16069,44
16078,187
16107,115
16134,130
16141,231
16172,74
16176,28
16182,124
16184,20
16188,130
16211,46
16243,33
16262,94
16306,84
16309,93
16317,46
16320,36
16335,228
16352,20
16363,42
16369,27
16371,94
16399,29
16408,54
16427,56
16431,50
16444,86
16449,37
16456,29
16463,462
16468,120
16484,26
16496,25
16504,98
16539,85
16542,87
16548,73
16552,166
16565,36
16569,30
16575,109
16577,27
16585,125
16586,36
16611,54
16620,77
16623,39
16645,308
16667,80
16688,112
16695,141
16735,59
16743,160
16764,56
16790,22
16823,41
16836,20
16859,50
16866,20
16903,61
16904,52
16917,25
16928,61
16939,63
16943,498
16954,47
16955,511
16966,40
16982,41
16991,24
16992,52
16999,98
17002,195
17043,203
17065,29
17071,60
17086,26
17094,67
17096,64
17124,30
17140,74
17162,22
17185,581
17192,144
17204,300
17221,151
17225,91
17238,21
17251,27
17283,50
17298,297
17300,58
17318,265
17323,88
17339,30
17345,79
17349,53
17352,64
17353,26
17370,292
17408,43
17421,36
17425,56
17429,31
17448,370
17449,26
17470,285
17486,177
17492,64
17500,32
17511,191
17514,138
17550,30
17559,104
17583,239
17593,89
17594,20
17595,497
17612,35
17620,106
17636,128
17640,783
17641,167
17642,22
17644,20
17650,102
17699,63
17714,25
17722,93
17741,240
17762,487
17768,568
17791,32
17794,55
17819,34
17822,23
17845,290
17888,542
17893,20
17904,40
17905,99
17910,218
17925,84
17974,35
17976,24
17984,21
17990,20
17994,50
17998,137
18002,85
18019,48
18035,39
18068,307
18076,100
18094,93
18139,51
18154,111
18156,70
18182,121
18197,236
18203,73
18207,31
18215,134
18221,162
18253,40
18256,22
18273,138
18290,20
18304,49
18310,317
18317,45
18321,53
18355,32
18364,38
18375,93
18387,22
18400,44
18426,51
18427,30
18442,39
18445,32
18449,327
18479,313
18498,32
18508,134
18515,942
18546,38
18554,163
18563,20
18581,213
18621,22
18644,54
18677,43
18686,59
18693,116
18713,252
18714,26
18735,210
18747,23
18766,20
18775,44
18779,26
18796,112
18797,159
18799,399
18804,20
18831,51
18844,27
18853,24
18865,37
18911,127
18920,70
18928,21
18930,34
18933,31
18937,105
18949,524
18956,63
18980,367
18983,91
19022,40
19026,38
19036,34
19048,64
19053,101
19060,123
19088,85
19098,130
19118,26
19134,84
19142,210
19170,42
19180,173
19214,24
19271,33
19272,42
19276,42
19295,24
19305,1183
19332,20
19339,31
19341,48
19345,97
19372,23
19381,86
19387,97
19392,100
19409,297
19420,100
19422,51
19449,40
19456,20
19463,88
19477,429
19484,43
19518,86
19535,84
19554,42
19555,96
19560,687
19596,31
19600,30
19604,26
19616,20
19673,20
19689,38
19720,53
19722,946
19766,338
19774,23
19793,22
19796,73
19799,22
19800,572
19801,20
19847,94
19850,227
19871,21
19873,114
19875,171
19882,41
19886,223
19888,21
19894,110
19926,348
19963,1180
19966,55
19967,301
19979,162
19998,27
20009,40
20033,41
20036,20
20054,317
20069,32
20077,161
20084,82
20097,50
20110,45
20125,69
20140,23
20149,77
20150,36
20168,113
20180,1150
20185,21
20205,74
20218,24
20252,369
20258,21
20282,55
20297,74
20299,20
20304,737
20331,80
20333,23
20339,64
20342,365
20343,52
20344,849
20356,79
20362,24
20364,65
20383,302
20399,22
20411,22
20419,35
20434,209
20435,135
20452,536
20459,32
20477,33
20494,152
20499,37
20519,86
20534,20
20561,150
20598,26
20608,27
20629,40
20645,29
20650,165
20651,28
20667,149
20701,199
20706,95
20712,202
20716,66
20750,607
20756,87
20767,30
20773,20
20774,341
20791,21
20796,111
20799,26
20819,142
20828,63
20830,26
20861,34
20872,29
20906,194
20909,20
20918,50
20919,156
20922,188
20925,38
20930,175
20934,26
20941,107
20955,147
20967,71
20980,47
20981,238
20994,50
21031,20
21052,84
21062,31
21067,261
21081,78
21083,60
21093,26
21095,80
21104,32
21114,53
21124,211
21130,184
21137,237
21141,33
21170,60
21177,299
21193,406
21194,312
21217,119
21246,42
21248,28
21310,53
21314,62
21359,120
21360,20
21361,39
21363,476
21365,50
21383,85
21430,250
21447,60
21448,109
21449,45
21466,122
21486,130
21491,44
21499,28
21503,130
21510,97
21518,30
21602,20
21604,85
21622,29
21629,44
21639,36
21686,50
21696,53
21698,57
21703,38
21705,347
21711,533
21724,21
21725,25
21733,23
21781,351
21785,86
21789,319
21814,159
21817,279
21828,100
21855,22
21868,148
21890,102
21906,24
21920,47
21944,73
21974,48
22017,352
22025,1071
22026,62
22078,117
22090,399
22091,74
22092,303
22109,27
22130,108
22153,116
22185,253
22190,328
22191,117
22242,29
22254,31
22266,84
22268,74
22274,69
22286,113
22287,61
22307,171
22338,96
22344,39
22347,78
22364,30
22413,24
22424,27
22449,367
22451,23
22455,26
22483,681
22489,106
22503,131
22562,203
22568,107
22589,120
22629,182
22634,47
22637,21
22650,287
22655,51
22663,261
22670,58
22676,532
22703,102
22723,867
22735,30
22740,40
22762,358
22766,65
22768,23
22787,35
22791,21
22794,37
22798,81
22799,325
22829,176
22838,93
22852,27
22857,157
22866,21
22876,47
22877,916
22892,241
22894,83
22900,69
22909,32
22947,68
22955,326
22960,32
22961,226
22977,45
22987,199
22989,79
23009,571
23041,26
23050,25
23053,59
23069,32
23079,110
23097,25
23111,65
23113,24
23150,247
23153,267
23160,61
23181,766
23214,20
23224,20
23269,30
23274,223
23293,24
23294,52
23325,59
23328,222
23345,645
23359,52
23364,113
23365,38
23370,36
23378,85
23380,41
23390,304
23391,311
23395,72
23465,28
23482,113
23488,382
23493,26
23498,398
23501,383
23508,69
23509,516
23520,68
23532,54
23536,150
23550,128
23582,64
23586,287
23596,846
23603,25
23615,67
23619,21
23629,159
23631,63
23635,171
23653,65
23673,44
23695,131
23706,46
23727,192
23740,46
23781,34
23816,23
23820,210
23823,603
23837,261
23842,136
23843,448
23869,250
23879,31
23880,97
23888,212
23958,52
23997,22
23998,20
24027,622
24028,98
24046,35
24053,54
24061,55
24065,209
24082,21
24092,46
24102,21
24130,20
24147,92
24162,73
24173,21
24186,157
24189,315
24191,44
24210,157
24217,222
24225,143
24230,127
24241,20
24249,41
24252,21
24276,29
24294,64
24297,24
24300,24
24306,29
24318,141
24325,51
24335,144
24357,44
24358,236
24373,54
24376,85
24388,96
24396,44
24406,126
24410,25
24424,72
24442,20
24449,37
24521,46
24522,62
24602,311
24605,150
24632,101
24636,842
24658,21
24659,29
24681,205
24695,83
24697,20
24724,375
24725,54
24739,113
24756,39
24758,42
24784,268
24809,148
24826,37
24835,32
24836,25
24837,95
24852,39
24858,24
24905,684
24911,32
24912,107
24920,76
24924,42
24932,35
24937,71
24956,23
24964,755
24989,77
24995,109
25012,333
25035,35
25048,23
25052,140
25064,127
25101,2328
25135,166
25159,20
25161,39
25162,31
25182,40
25193,143
25211,204
25214,43
25217,47
25220,28
25228,47
25251,38
25257,39
25278,56
25281,66
25293,359
25304,107
25312,289
25331,193
25335,52
25348,26
25367,308
25370,199
25377,20
25382,203
25394,50
25423,32
25450,107
25455,332
25461,65
25471,36
25475,365
25482,93
25510,119
25516,98
25518,23
25524,41
25538,201
25544,23
25565,413
25587,106
25605,57
25608,63
25609,42
25664,165
25694,44
25699,35
25700,23
25715,85
25725,88
25726,133
25732,64
25748,91
25763,77
25766,32
25777,433
25793,55
25813,25
25846,39
25852,29
25853,21
25902,26
25929,40
25945,119
25950,26
25967,29
25969,130
25976,58
25991,30
26018,41
26021,156
26047,130
26075,52
26076,31
26101,30
26119,40
26164,256
26171,387
26173,72
26174,235
26183,28
26211,172
26214,729
26228,80
26235,39
26246,57
26263,40
26265,61
26311,653
26314,555
26317,21
26324,157
26339,43
26340,44
26350,20
26353,62
26379,42
26393,97
26401,22
26405,20
26410,28
26411,479
26415,20
26428,22
26435,20
26439,67
26455,59
26457,65
26460,842
26461,21
26486,38
26516,590
26531,61
26532,32
26533,76
26564,20
26592,89
26615,178
26633,20
26649,23
26651,499
26658,87
26676,48
26685,74
26698,40
26705,60
26713,66
26756,205
26772,799
26775,31
26836,33
26853,27
26857,106
26876,527
26880,429
26891,21
26900,210
26903,200
26947,48
26980,117
26982,30
26995,132
27020,42
27041,1560
27043,322
27046,129
27073,1166
27084,83
27090,52
27095,117
27102,660
27118,255
27122,42
27127,83
27131,323
27155,40
27156,54
27160,128
27178,33
27206,130
27209,104
27212,139
27271,69
27278,1731
27285,22
27291,21
27296,97
27309,34
27320,684
27328,50
27360,145
27369,35
27372,66
27395,259
27406,225
27410,70
27429,284
27435,20
27441,569
27454,236
27472,319
27497,32
27539,39
27540,107
27548,42
27576,24
27583,36
27589,282
27597,26
27612,44
27620,47
27622,23
27626,55
27642,26
27666,1562
27669,27
27698,148
27704,74
27753,85
27756,89
27770,37
27788,105
27795,147
27801,22
27803,139
27813,276
27835,28
27836,56
27837,35
27863,28
27880,40
27881,33
27886,589
27887,148
27894,1239
27897,147
27898,1215
27901,26
27908,21
27915,25
27929,54
27933,28
27935,55
27953,20
27968,207
27981,28
28010,22
28023,807
28113,20
28133,83
28154,62
28155,455
28157,27
28171,112
28188,150
28236,38
28239,1000
28246,35
28256,346
28268,20
28326,168
28348,41
28350,35
28361,50
28365,20
28366,38
28368,58
28374,75
28404,150
28428,45
28461,41
28490,279
28503,22
28512,372
28537,153
28541,184
28547,69
28550,155
28567,79
28568,31
28572,73
28583,82
28604,133
28629,378
28665,135
28691,20
28711,55
28719,39
28726,131
28730,102
28732,32
28744,1235
28754,66
28758,186
28761,291
28765,86
28778,339
28783,103
28796,34
28821,32
28834,39
28841,71
28881,21
28886,71
28890,293
28921,49
28934,24
28953,224
28958,27
28964,20
28967,23
28992,36
29005,127
29019,99
29051,68
29084,798
29093,73
29097,102
29110,49
29111,387
29122,56
29142,42
29152,68
29154,186
29155,336
29163,21
29185,73
29195,139
29199,213
29224,93
29225,59
29240,52
29246,35
29272,43
29290,82
29295,41
29315,31
29364,20
29372,113
29381,42
29404,58
29441,96
29480,153
29483,38
29485,195
29504,21
29543,318
29563,31
29599,49
29602,41
29615,174
29616,102
29617,102
29622,37
29634,33
29639,48
29648,37
29661,154
29689,50
29733,88
29754,187
29761,45
29799,110
29831,216
29834,58
29840,146
29930,51
29931,303
29963,20
29992,45
30002,107
30003,104
30009,31
30023,309
30039,121
30051,158
30058,45
30068,24
30098,150
30101,169
30125,52
30150,802
30152,167
30158,39
30164,74
30184,197
30186,265
30217,41
30224,84
30230,100
30251,101
30255,37
30298,23
30301,102
30331,23
30336,456
30338,141
30374,38
30387,485
30391,36
30392,368
30410,221
30411,57
30413,57
30426,55
30428,1053
30434,26
30447,449
30457,32
30460,109
30464,56
30467,96
30472,145
30476,23
30490,112
30507,1426
30530,299
30532,443
30538,40
30557,20
30573,28
30593,38
30602,45
30620,704
30623,143
30627,192
30628,209
30632,191
30634,481
30697,78
30703,23
30706,22
30732,30
30758,27
30771,194
30809,84
30827,20
30839,42
30861,412
30872,35
30884,226
30896,901
30903,129
30942,82
30983,157
30995,50
31023,50
31024,33
31050,121
31062,50
31071,133
31084,42
31088,126
31094,58
31113,171
31154,155
31166,58
31178,27
31236,177
31243,111
31267,157
31280,41
31300,391
31308,111
31325,25
31332,35
31333,236
31359,59
31374,66
31385,34
31389,128
31401,24
31408,122
31420,82
31445,25
31457,291
31464,39
31478,100
31485,23
31491,31
31506,54
31527,148
31542,30
31576,131
31583,42
31589,853
31591,59
31593,49
31597,120
31624,42
31638,157
31648,60
31693,40
31712,1245
31739,41
31742,87
31751,279
31766,47
31785,108
31787,22
31788,182
31793,222
31809,22
31820,130
31827,32
31906,582
31951,40
31962,86
31972,76
31977,73
31987,137
31990,61
31991,134
31995,652
32025,35
32035,79
32038,134
32043,38
32054,29
32058,37
32064,21
32076,305
32101,145
32107,89
32130,293
32148,174
32152,48
32171,86
32176,30
32180,278
32205,71
32215,113
32234,257
32255,434
32270,62
32274,97
32301,64
32312,68
32340,602
32344,2886
32357,68
32361,36
32365,317
32377,84
32385,28
32395,62
32415,92
32429,39
32441,156
32442,61
32458,20
32475,40
32515,57
32516,26
32525,205
32527,243
32535,236
32547,140
32552,54
32554,281
32566,24
32570,26
32585,306
32601,45
32604,96
32619,126
32622,388
32631,115
32641,208
32654,490
32656,123
32671,1283
32695,30
32696,384
32713,74
32746,43
32757,20
32759,42
32773,26
32793,85
32835,32
32872,78
32876,36
32903,44
32908,26
32924,60
32952,149
32969,23
32981,108
33023,122
33033,49
33043,20
33056,285
33058,192
33064,20
33080,53
33091,200
33093,193
33127,114
33133,112
33145,171
33153,75
33155,64
33173,71
33196,24
33199,106
33201,203
33217,36
33218,56
33224,31
33227,20
33228,23
33229,58
33239,39
33247,21
33261,43
33263,42
33280,58
33281,244
33293,38
33302,26
33303,35
33327,117
33329,21
33335,26
33341,74
33344,546
33383,20
33413,36
33437,55
33453,38
33458,23
33463,34
33473,20
33490,183
33495,894
33503,56
33535,23
33542,87
33547,54
33551,252
33582,55
33583,61
33618,47
33623,110
33637,40
33646,133
33656,56
33669,96
33697,575
33699,234
33705,72
33712,37
33721,42
33753,87
33754,88
33756,48
33810,63
33813,38
33816,32
33842,301
33844,105
33850,138
33854,385
33860,134
33866,149
33870,21
33879,222
33880,49
33896,21
33917,30
33925,48
33930,21
33954,372
33962,53
33969,243
33988,37
34002,88
34024,74
34026,27
34063,59
34089,26
34091,52
34112,100
34157,40
34172,49
34177,289
34191,672
34199,191
34229,158
34236,80
34249,26
34250,95
34272,81
34285,62
34353,152
34363,20
34374,52
34384,48
34398,346
34414,51
34417,26
34426,438
34436,293
34437,392
34442,93
34444,102
34481,26
34499,26
34502,303
34510,21
34527,25
34530,77
34566,69
34573,155
34574,38
34582,136
34586,43
34606,43
34616,81
34631,39
34633,54
34672,22
34692,342
34695,35
34710,20
34721,25
34749,225
34751,45
34777,242
34785,557
34789,28
34817,230
34882,576
34895,353
34899,1533
34911,93
34916,259
34935,40
34949,171
34953,42
34981,500
34997,347
35011,1115
35027,126
35029,68
35044,27
35052,22
35056,25
35062,21
35095,132
35121,654
35141,29
35146,35
35165,56
35177,48
35185,69
35222,20
35265,443
35269,68
35272,531
35275,83
35333,76
35350,34
35351,52
35353,53
35362,208
35367,156
35368,23
35373,85
35389,32
35391,178
35405,40
35414,131
35421,30
35422,100
35424,735
35429,22
35463,30
35477,24
35478,25
35515,208
35522,965
35530,48
35544,121
35570,43
35584,169
35588,48
35595,32
35666,58
35669,388
35679,21
35702,330
35717,104
35727,256
35728,32
35737,22
35747,188
35756,180
35759,61
35790,25
35795,307
35799,126
35814,27
35846,55
35861,115
35891,27
35924,138
35966,598
36014,40
36015,509
36043,35
36080,31
36084,22
36095,83
36107,195
36112,195
36133,30
36140,56
36146,190
36152,41
36157,63
36189,162
36215,231
36222,21
36226,36
36242,40
36250,407
36253,112
36263,901
36265,123
36270,335
36279,137
36290,75
36293,84
36303,94
36321,67
36322,95
36339,175
36353,141
36358,107
36364,153
36403,149
36409,98
36412,20
36419,303
36420,35
36424,22
36432,587
36442,98
36447,152
36462,245
36478,61
36480,21
36488,325
36518,44
36527,133
36548,22
36560,20
36588,84
36598,30
36608,64
36610,33
36618,27
36624,65
36638,59
36644,259
36673,39
36717,27
36723,113
36739,109
36767,56
36773,39
36799,74
36816,64
36824,39
36833,88
36837,258
36840,93
36851,435
36862,287
36865,76
36873,30
36876,35
36877,158
36879,59
36887,155
36897,199
36906,43
36926,53
36936,72
36937,37
36951,504
36984,33
36988,20
37002,37
37018,429
37023,156
37031,55
37032,40
37047,104
37054,142
37055,28
37061,20
37070,80
37076,59
37114,22
37127,138
37142,25
37161,1224
37163,35
37182,138
37198,74
37217,835
37258,52
37264,1381
37267,87
37298,83
37301,243
37302,386
37317,2200
37330,23
37331,752
37341,29
37351,63
37353,27
37366,94
37387,125
37431,44
37489,110
37503,287
37528,25
37533,35
37538,26
37549,27
37565,20
37576,38
37589,57
37593,107
37600,138
37607,26
37608,44
37646,31
37654,72
37660,250
37699,147
37715,46
37774,23
37775,132
37797,52
37820,51
37889,59
37900,21
37918,248
37971,22
37974,45
37980,73
37982,95
38019,50
38034,35
38039,20
38044,294
38091,22
38122,26
38126,45
38133,73
38136,22
38173,28
38207,67
38210,72
38237,23
38248,61
38261,61
38262,26
38265,111
38267,1227
38282,411
38292,183
38306,25
38319,72
38323,29
38330,79
38334,62
38338,21
38341,34
38349,117
38361,51
38368,69
38384,128
38401,48
38417,47
38422,49
38426,20
38436,179
38439,53
38442,28
38446,59
38482,21
38491,62
38531,155
38535,69
38539,1362
38545,77
38566,182
38568,41
38569,27
38575,47
38618,28
38649,117
38667,27
38668,62
38671,354
38685,47
38737,394
38760,110
38770,98
38806,21
38811,30
38812,105
38820,1027
38829,131
38837,20
